regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,RO,11,26/04/2020,18,1777225,364,36,10,3
Norte,RO,11,27/04/2020,18,1777225,393,29,10,0
Norte,RO,11,28/04/2020,18,1777225,413,20,11,1
Norte,RO,11,29/04/2020,18,1777225,433,20,15,4
Norte,RO,11,30/04/2020,18,1777225,502,69,16,1
Norte,RO,11,01/05/2020,18,1777225,585,83,18,2
Norte,RO,11,02/05/2020,18,1777225,653,68,23,5
Norte,RO,11,03/05/2020,19,1777225,705,52,24,1
Norte,RO,11,04/05/2020,19,1777225,756,51,25,1
Norte,RO,11,05/05/2020,19,1777225,861,105,29,4
Norte,RO,11,06/05/2020,19,1777225,943,82,33,4
Norte,RO,11,07/05/2020,19,1777225,1098,155,37,4
Norte,RO,11,08/05/2020,19,1777225,1222,124,39,2
Norte,RO,11,09/05/2020,19,1777225,1263,41,41,2
Norte,RO,11,10/05/2020,20,1777225,1302,39,43,2
Norte,RO,11,11/05/2020,20,1777225,1396,94,47,4
Norte,RO,11,12/05/2020,20,1777225,1460,64,50,3
Norte,RO,11,13/05/2020,20,1777225,1612,152,50,0
Norte,RO,11,14/05/2020,20,1777225,1686,74,56,6
Norte,RO,11,15/05/2020,20,1777225,1789,103,62,6
Norte,RO,11,16/05/2020,20,1777225,1919,130,69,7
Norte,RO,11,17/05/2020,21,1777225,1963,44,74,5
Norte,RO,11,18/05/2020,21,1777225,2043,80,77,3
Norte,RO,11,19/05/2020,21,1777225,2257,214,87,10
Norte,RO,11,20/05/2020,21,1777225,2499,242,90,3
Norte,RO,11,21/05/2020,21,1777225,2659,160,101,11
Norte,RO,11,22/05/2020,21,1777225,2774,115,106,5
Norte,RO,11,23/05/2020,21,1777225,3109,335,115,9
Norte,RO,11,24/05/2020,22,1777225,3201,92,121,6
Norte,RO,11,25/05/2020,22,1777225,3268,67,121,0
Norte,RO,11,26/05/2020,22,1777225,3493,225,133,12
Norte,RO,11,27/05/2020,22,1777225,3862,369,137,4
Norte,RO,11,28/05/2020,22,1777225,4252,390,142,5
Norte,RO,11,29/05/2020,22,1777225,4502,250,145,3
Norte,RO,11,30/05/2020,22,1777225,4743,241,151,6
Norte,RO,11,31/05/2020,23,1777225,4942,199,156,5
Norte,RO,11,01/06/2020,23,1777225,5172,230,159,3
Norte,RO,11,02/06/2020,23,1777225,5477,305,172,13
Norte,RO,11,03/06/2020,23,1777225,5713,236,180,8
Norte,RO,11,04/06/2020,23,1777225,6459,746,194,14
Norte,RO,11,05/06/2020,23,1777225,6862,403,213,19
Norte,AC,12,25/02/2020,9,881935,0,0,0,0
Norte,AC,12,26/02/2020,9,881935,0,0,0,0
Norte,AC,12,27/02/2020,9,881935,0,0,0,0
Norte,AC,12,28/02/2020,9,881935,0,0,0,0
Norte,AC,12,29/02/2020,9,881935,0,0,0,0
Norte,AC,12,01/03/2020,10,881935,0,0,0,0
Norte,AC,12,02/03/2020,10,881935,0,0,0,0
Norte,AC,12,03/03/2020,10,881935,0,0,0,0
Norte,AC,12,04/03/2020,10,881935,0,0,0,0
Norte,AC,12,05/03/2020,10,881935,0,0,0,0
Norte,AC,12,06/03/2020,10,881935,0,0,0,0
Norte,AC,12,07/03/2020,10,881935,0,0,0,0
Norte,AC,12,08/03/2020,11,881935,0,0,0,0
Norte,AC,12,09/03/2020,11,881935,0,0,0,0
Norte,AC,12,10/03/2020,11,881935,0,0,0,0
Norte,AC,12,11/03/2020,11,881935,0,0,0,0
Norte,AC,12,12/03/2020,11,881935,0,0,0,0
Norte,AC,12,13/03/2020,11,881935,0,0,0,0
Norte,AC,12,14/03/2020,11,881935,0,0,0,0
Norte,AC,12,15/03/2020,12,881935,0,0,0,0
Norte,AC,12,16/03/2020,12,881935,0,0,0,0
Norte,AC,12,17/03/2020,12,881935,0,0,0,0
Norte,AC,12,18/03/2020,12,881935,0,0,0,0
Norte,AC,12,19/03/2020,12,881935,3,3,0,0
Norte,AC,12,20/03/2020,12,881935,7,4,0,0
Norte,AC,12,21/03/2020,12,881935,9,2,0,0
Norte,AC,12,22/03/2020,13,881935,11,2,0,0
Norte,AC,12,23/03/2020,13,881935,11,0,0,0
Norte,AC,12,24/03/2020,13,881935,17,6,0,0
Norte,AC,12,25/03/2020,13,881935,23,6,0,0
Norte,AC,12,26/03/2020,13,881935,24,1,0,0
Norte,AC,12,27/03/2020,13,881935,25,1,0,0
Norte,AC,12,28/03/2020,13,881935,25,0,0,0
Norte,AC,12,29/03/2020,14,881935,34,9,0,0
Norte,AC,12,30/03/2020,14,881935,42,8,0,0
Norte,AC,12,31/03/2020,14,881935,42,0,0,0
Norte,AC,12,01/04/2020,14,881935,43,1,0,0
Norte,AC,12,02/04/2020,14,881935,43,0,0,0
Norte,AC,12,03/04/2020,14,881935,46,3,0,0
Norte,AC,12,04/04/2020,14,881935,46,0,0,0
Norte,AC,12,05/04/2020,15,881935,48,2,0,0
Norte,AC,12,06/04/2020,15,881935,50,2,0,0
Norte,AC,12,07/04/2020,15,881935,50,0,1,1
Norte,AC,12,08/04/2020,15,881935,54,4,2,1
Norte,AC,12,09/04/2020,15,881935,62,8,2,0
Norte,AC,12,10/04/2020,15,881935,70,8,2,0
Norte,AC,12,11/04/2020,15,881935,72,2,2,0
Norte,AC,12,12/04/2020,16,881935,77,5,2,0
Norte,AC,12,13/04/2020,16,881935,90,13,3,1
Norte,AC,12,14/04/2020,16,881935,99,9,3,0
Norte,AC,12,15/04/2020,16,881935,101,2,3,0
Norte,AC,12,16/04/2020,16,881935,110,9,5,2
Norte,AC,12,17/04/2020,16,881935,135,25,5,0
Norte,AC,12,18/04/2020,16,881935,142,7,5,0
Norte,AC,12,19/04/2020,17,881935,163,21,6,1
Norte,AC,12,20/04/2020,17,881935,176,13,8,2
Norte,AC,12,21/04/2020,17,881935,195,19,8,0
Norte,AC,12,22/04/2020,17,881935,214,19,8,0
Norte,AC,12,23/04/2020,17,881935,227,13,10,2
Norte,AC,12,24/04/2020,17,881935,234,7,11,1
Norte,AC,12,25/04/2020,17,881935,258,24,11,0
Norte,AC,12,26/04/2020,18,881935,279,21,11,0
Norte,AC,12,27/04/2020,18,881935,279,0,14,3
Norte,AC,12,28/04/2020,18,881935,311,32,16,2
Norte,AC,12,29/04/2020,18,881935,354,43,17,1
Norte,AC,12,30/04/2020,18,881935,404,50,19,2
Norte,AC,12,01/05/2020,18,881935,486,82,19,0
Norte,AC,12,02/05/2020,18,881935,553,67,21,2
Norte,AC,12,03/05/2020,19,881935,657,104,24,3
Norte,AC,12,04/05/2020,19,881935,733,76,28,4
Norte,AC,12,05/05/2020,19,881935,817,84,29,1
Norte,AC,12,06/05/2020,19,881935,943,126,33,4
Norte,AC,12,07/05/2020,19,881935,1014,71,36,3
Norte,AC,12,08/05/2020,19,881935,1177,163,38,2
Norte,AC,12,09/05/2020,19,881935,1335,158,39,1
Norte,AC,12,10/05/2020,20,881935,1447,112,41,2
Norte,AC,12,11/05/2020,20,881935,1460,13,45,4
Norte,AC,12,12/05/2020,20,881935,1590,130,51,6
Norte,AC,12,13/05/2020,20,881935,1694,104,52,1
Norte,AC,12,14/05/2020,20,881935,1740,46,55,3
Norte,AC,12,15/05/2020,20,881935,1785,45,57,2
Norte,AC,12,16/05/2020,20,881935,1867,82,59,2
Norte,AC,12,17/05/2020,21,881935,1997,130,60,1
Norte,AC,12,18/05/2020,21,881935,2234,237,67,7
Norte,AC,12,19/05/2020,21,881935,2482,248,72,5
Norte,AC,12,20/05/2020,21,881935,2817,335,76,4
Norte,AC,12,21/05/2020,21,881935,3103,286,78,2
Norte,AC,12,22/05/2020,21,881935,3343,240,80,2
Norte,AC,12,23/05/2020,21,881935,3867,524,87,7
Norte,AC,12,24/05/2020,22,881935,4160,293,92,5
Norte,AC,12,25/05/2020,22,881935,4501,341,97,5
Norte,AC,12,26/05/2020,22,881935,4781,280,105,8
Norte,AC,12,27/05/2020,22,881935,5251,470,113,8
Norte,AC,12,28/05/2020,22,881935,5600,349,122,9
Norte,AC,12,29/05/2020,22,881935,5841,241,135,13
Norte,AC,12,30/05/2020,22,881935,6072,231,142,7
Norte,AC,12,31/05/2020,23,881935,6219,147,148,6
Norte,AC,12,01/06/2020,23,881935,6326,107,161,13
Norte,AC,12,02/06/2020,23,881935,6465,139,165,4
Norte,AC,12,03/06/2020,23,881935,6679,214,171,6
Norte,AC,12,04/06/2020,23,881935,7021,342,181,10
Norte,AC,12,05/06/2020,23,881935,7284,263,190,9
Norte,AM,13,25/02/2020,9,4144597,0,0,0,0
Norte,AM,13,26/02/2020,9,4144597,0,0,0,0
Norte,AM,13,27/02/2020,9,4144597,0,0,0,0
Norte,AM,13,28/02/2020,9,4144597,0,0,0,0
Norte,AM,13,29/02/2020,9,4144597,0,0,0,0
Norte,AM,13,01/03/2020,10,4144597,0,0,0,0
Norte,AM,13,02/03/2020,10,4144597,0,0,0,0
Norte,AM,13,03/03/2020,10,4144597,0,0,0,0
Norte,AM,13,04/03/2020,10,4144597,0,0,0,0
Norte,AM,13,05/03/2020,10,4144597,0,0,0,0
Norte,AM,13,06/03/2020,10,4144597,0,0,0,0
Norte,AM,13,07/03/2020,10,4144597,0,0,0,0
Norte,AM,13,08/03/2020,11,4144597,0,0,0,0
Norte,AM,13,09/03/2020,11,4144597,0,0,0,0
Norte,AM,13,10/03/2020,11,4144597,0,0,0,0
Norte,AM,13,11/03/2020,11,4144597,0,0,0,0
Norte,AM,13,12/03/2020,11,4144597,0,0,0,0
Norte,AM,13,13/03/2020,11,4144597,0,0,0,0
Norte,AM,13,14/03/2020,11,4144597,0,0,0,0
Norte,AM,13,15/03/2020,12,4144597,1,1,0,0
Norte,AM,13,16/03/2020,12,4144597,1,0,0,0
Norte,AM,13,17/03/2020,12,4144597,1,0,0,0
Norte,AM,13,18/03/2020,12,4144597,1,0,0,0
Norte,AM,13,19/03/2020,12,4144597,3,2,0,0
Norte,AM,13,20/03/2020,12,4144597,3,0,0,0
Norte,AM,13,21/03/2020,12,4144597,11,8,0,0
Norte,AM,13,22/03/2020,13,4144597,26,15,0,0
Norte,AM,13,23/03/2020,13,4144597,32,6,0,0
Norte,AM,13,24/03/2020,13,4144597,47,15,0,0
Norte,AM,13,25/03/2020,13,4144597,54,7,1,1
Norte,AM,13,26/03/2020,13,4144597,67,13,1,0
Norte,AM,13,27/03/2020,13,4144597,81,14,1,0
Norte,AM,13,28/03/2020,13,4144597,111,30,1,0
Norte,AM,13,29/03/2020,14,4144597,140,29,1,0
Norte,AM,13,30/03/2020,14,4144597,151,11,1,0
Norte,AM,13,31/03/2020,14,4144597,175,24,3,2
Norte,AM,13,01/04/2020,14,4144597,200,25,3,0
Norte,AM,13,02/04/2020,14,4144597,229,29,3,0
Norte,AM,13,03/04/2020,14,4144597,260,31,7,4
Norte,AM,13,04/04/2020,14,4144597,311,51,12,5
Norte,AM,13,05/04/2020,15,4144597,417,106,14,2
Norte,AM,13,06/04/2020,15,4144597,532,115,19,5
Norte,AM,13,07/04/2020,15,4144597,636,104,23,4
Norte,AM,13,08/04/2020,15,4144597,804,168,30,7
Norte,AM,13,09/04/2020,15,4144597,899,95,40,10
Norte,AM,13,10/04/2020,15,4144597,981,82,50,10
Norte,AM,13,11/04/2020,15,4144597,1050,69,53,3
Norte,AM,13,12/04/2020,16,4144597,1206,156,62,9
Norte,AM,13,13/04/2020,16,4144597,1275,69,71,9
Norte,AM,13,14/04/2020,16,4144597,1484,209,90,19
Norte,AM,13,15/04/2020,16,4144597,1554,70,106,16
Norte,AM,13,16/04/2020,16,4144597,1719,165,124,18
Norte,AM,13,17/04/2020,16,4144597,1809,90,145,21
Norte,AM,13,18/04/2020,16,4144597,1897,88,161,16
Norte,AM,13,19/04/2020,17,4144597,2044,147,182,21
Norte,AM,13,20/04/2020,17,4144597,2160,116,185,3
Norte,AM,13,21/04/2020,17,4144597,2270,110,193,8
Norte,AM,13,22/04/2020,17,4144597,2479,209,207,14
Norte,AM,13,23/04/2020,17,4144597,2888,409,234,27
Norte,AM,13,24/04/2020,17,4144597,3194,306,255,21
Norte,AM,13,25/04/2020,17,4144597,3635,441,287,32
Norte,AM,13,26/04/2020,18,4144597,3833,198,304,17
Norte,AM,13,27/04/2020,18,4144597,3928,95,320,16
Norte,AM,13,28/04/2020,18,4144597,4337,409,351,31
Norte,AM,13,29/04/2020,18,4144597,4801,464,380,29
Norte,AM,13,30/04/2020,18,4144597,5254,453,425,45
Norte,AM,13,01/05/2020,18,4144597,5723,469,476,51
Norte,AM,13,02/05/2020,18,4144597,6062,339,501,25
Norte,AM,13,03/05/2020,19,4144597,6683,621,548,47
Norte,AM,13,04/05/2020,19,4144597,7242,559,584,36
Norte,AM,13,05/05/2020,19,4144597,8109,867,649,65
Norte,AM,13,06/05/2020,19,4144597,9243,1134,751,102
Norte,AM,13,07/05/2020,19,4144597,10099,856,806,55
Norte,AM,13,08/05/2020,19,4144597,10727,628,874,68
Norte,AM,13,09/05/2020,19,4144597,11925,1198,962,88
Norte,AM,13,10/05/2020,20,4144597,12599,674,1004,42
Norte,AM,13,11/05/2020,20,4144597,12919,320,1035,31
Norte,AM,13,12/05/2020,20,4144597,14168,1249,1098,63
Norte,AM,13,13/05/2020,20,4144597,15816,1648,1160,62
Norte,AM,13,14/05/2020,20,4144597,17181,1365,1235,75
Norte,AM,13,15/05/2020,20,4144597,18392,1211,1331,96
Norte,AM,13,16/05/2020,20,4144597,19677,1285,1375,44
Norte,AM,13,17/05/2020,21,4144597,20328,651,1413,38
Norte,AM,13,18/05/2020,21,4144597,20913,585,1433,20
Norte,AM,13,19/05/2020,21,4144597,22132,1219,1491,58
Norte,AM,13,20/05/2020,21,4144597,23704,1572,1561,70
Norte,AM,13,21/05/2020,21,4144597,25367,1663,1620,59
Norte,AM,13,22/05/2020,21,4144597,27038,1671,1669,49
Norte,AM,13,23/05/2020,21,4144597,28802,1764,1744,75
Norte,AM,13,24/05/2020,22,4144597,29867,1065,1758,14
Norte,AM,13,25/05/2020,22,4144597,30282,415,1781,23
Norte,AM,13,26/05/2020,22,4144597,31949,1667,1852,71
Norte,AM,13,27/05/2020,22,4144597,33508,1559,1891,39
Norte,AM,13,28/05/2020,22,4144597,36146,2638,1964,73
Norte,AM,13,29/05/2020,22,4144597,38909,2763,2011,47
Norte,AM,13,30/05/2020,22,4144597,40560,1651,2047,36
Norte,AM,13,31/05/2020,23,4144597,41378,818,2052,5
Norte,AM,13,01/06/2020,23,4144597,41774,396,2071,19
Norte,AM,13,02/06/2020,23,4144597,43195,1421,2102,31
Norte,AM,13,03/06/2020,23,4144597,44347,1152,2138,36
Norte,AM,13,04/06/2020,23,4144597,46473,2126,2183,45
Norte,AM,13,05/06/2020,23,4144597,47666,1193,2199,16
Norte,RR,14,25/02/2020,9,605761,0,0,0,0
Norte,RR,14,26/02/2020,9,605761,0,0,0,0
Norte,RR,14,27/02/2020,9,605761,0,0,0,0
Norte,RR,14,28/02/2020,9,605761,0,0,0,0
Norte,RR,14,29/02/2020,9,605761,0,0,0,0
Norte,RR,14,01/03/2020,10,605761,0,0,0,0
Norte,RR,14,02/03/2020,10,605761,0,0,0,0
Norte,RR,14,03/03/2020,10,605761,0,0,0,0
Norte,RR,14,04/03/2020,10,605761,0,0,0,0
Norte,RR,14,05/03/2020,10,605761,0,0,0,0
Norte,RR,14,06/03/2020,10,605761,0,0,0,0
Norte,RR,14,07/03/2020,10,605761,0,0,0,0
Norte,RR,14,08/03/2020,11,605761,0,0,0,0
Norte,RR,14,09/03/2020,11,605761,0,0,0,0
Norte,RR,14,10/03/2020,11,605761,0,0,0,0
Norte,RR,14,11/03/2020,11,605761,0,0,0,0
Norte,RR,14,12/03/2020,11,605761,0,0,0,0
Norte,RR,14,13/03/2020,11,605761,0,0,0,0
Norte,RR,14,14/03/2020,11,605761,0,0,0,0
Norte,RR,14,15/03/2020,12,605761,0,0,0,0
Norte,RR,14,16/03/2020,12,605761,0,0,0,0
Norte,RR,14,17/03/2020,12,605761,0,0,0,0
Norte,RR,14,18/03/2020,12,605761,0,0,0,0
Norte,RR,14,19/03/2020,12,605761,0,0,0,0
Norte,RR,14,20/03/2020,12,605761,0,0,0,0
Norte,RR,14,21/03/2020,12,605761,0,0,0,0
Norte,RR,14,22/03/2020,13,605761,2,2,0,0
Norte,RR,14,23/03/2020,13,605761,2,0,0,0
Norte,RR,14,24/03/2020,13,605761,2,0,0,0
Norte,RR,14,25/03/2020,13,605761,8,6,0,0
Norte,RR,14,26/03/2020,13,605761,8,0,0,0
Norte,RR,14,27/03/2020,13,605761,10,2,0,0
Norte,RR,14,28/03/2020,13,605761,12,2,0,0
Norte,RR,14,29/03/2020,14,605761,16,4,0,0
Norte,RR,14,30/03/2020,14,605761,16,0,0,0
Norte,RR,14,31/03/2020,14,605761,16,0,0,0
Norte,RR,14,01/04/2020,14,605761,22,6,0,0
Norte,RR,14,02/04/2020,14,605761,26,4,0,0
Norte,RR,14,03/04/2020,14,605761,30,4,0,0
Norte,RR,14,04/04/2020,14,605761,37,7,1,1
Norte,RR,14,05/04/2020,15,605761,42,5,1,0
Norte,RR,14,06/04/2020,15,605761,42,0,1,0
Norte,RR,14,07/04/2020,15,605761,42,0,1,0
Norte,RR,14,08/04/2020,15,605761,49,7,1,0
Norte,RR,14,09/04/2020,15,605761,52,3,1,0
Norte,RR,14,10/04/2020,15,605761,63,11,3,2
Norte,RR,14,11/04/2020,15,605761,75,12,3,0
Norte,RR,14,12/04/2020,16,605761,79,4,3,0
Norte,RR,14,13/04/2020,16,605761,83,4,3,0
Norte,RR,14,14/04/2020,16,605761,113,30,3,0
Norte,RR,14,15/04/2020,16,605761,114,1,3,0
Norte,RR,14,16/04/2020,16,605761,142,28,3,0
Norte,RR,14,17/04/2020,16,605761,164,22,3,0
Norte,RR,14,18/04/2020,16,605761,201,37,3,0
Norte,RR,14,19/04/2020,17,605761,222,21,3,0
Norte,RR,14,20/04/2020,17,605761,244,22,3,0
Norte,RR,14,21/04/2020,17,605761,247,3,3,0
Norte,RR,14,22/04/2020,17,605761,280,33,3,0
Norte,RR,14,23/04/2020,17,605761,297,17,3,0
Norte,RR,14,24/04/2020,17,605761,304,7,3,0
Norte,RR,14,25/04/2020,17,605761,345,41,3,0
Norte,RR,14,26/04/2020,18,605761,401,56,4,1
Norte,RR,14,27/04/2020,18,605761,407,6,4,0
Norte,RR,14,28/04/2020,18,605761,425,18,6,2
Norte,RR,14,29/04/2020,18,605761,452,27,6,0
Norte,RR,14,30/04/2020,18,605761,519,67,7,1
Norte,RR,14,01/05/2020,18,605761,602,83,8,1
Norte,RR,14,02/05/2020,18,605761,668,66,9,1
Norte,RR,14,03/05/2020,19,605761,740,72,11,2
Norte,RR,14,04/05/2020,19,605761,806,66,11,0
Norte,RR,14,05/05/2020,19,605761,869,63,11,0
Norte,RR,14,06/05/2020,19,605761,932,63,13,2
Norte,RR,14,07/05/2020,19,605761,1020,88,14,1
Norte,RR,14,08/05/2020,19,605761,1124,104,16,2
Norte,RR,14,09/05/2020,19,605761,1202,78,18,2
Norte,RR,14,10/05/2020,20,605761,1290,88,21,3
Norte,RR,14,11/05/2020,20,605761,1295,5,24,3
Norte,RR,14,12/05/2020,20,605761,1328,33,27,3
Norte,RR,14,13/05/2020,20,605761,1411,83,29,2
Norte,RR,14,14/05/2020,20,605761,1500,89,37,8
Norte,RR,14,15/05/2020,20,605761,1589,89,40,3
Norte,RR,14,16/05/2020,20,605761,1706,117,49,9
Norte,RR,14,17/05/2020,21,605761,1791,85,51,2
Norte,RR,14,18/05/2020,21,605761,1876,85,60,9
Norte,RR,14,19/05/2020,21,605761,1985,109,61,1
Norte,RR,14,20/05/2020,21,605761,2067,82,64,3
Norte,RR,14,21/05/2020,21,605761,2146,79,72,8
Norte,RR,14,22/05/2020,21,605761,2306,160,81,9
Norte,RR,14,23/05/2020,21,605761,2374,68,81,0
Norte,RR,14,24/05/2020,22,605761,2439,65,84,3
Norte,RR,14,25/05/2020,22,605761,2514,75,86,2
Norte,RR,14,26/05/2020,22,605761,2583,69,102,16
Norte,RR,14,27/05/2020,22,605761,2682,99,102,0
Norte,RR,14,28/05/2020,22,605761,2959,277,102,0
Norte,RR,14,29/05/2020,22,605761,3098,139,108,6
Norte,RR,14,30/05/2020,22,605761,3299,201,110,2
Norte,RR,14,31/05/2020,23,605761,3474,175,116,6
Norte,RR,14,01/06/2020,23,605761,3692,218,116,0
Norte,RR,14,02/06/2020,23,605761,3850,158,120,4
Norte,RR,14,03/06/2020,23,605761,4143,293,124,4
Norte,RR,14,04/06/2020,23,605761,4483,340,127,3
Norte,RR,14,05/06/2020,23,605761,4831,348,139,12
Norte,PA,15,25/02/2020,9,8602865,0,0,0,0
Norte,PA,15,26/02/2020,9,8602865,0,0,0,0
Norte,PA,15,27/02/2020,9,8602865,0,0,0,0
Norte,PA,15,28/02/2020,9,8602865,0,0,0,0
Norte,PA,15,29/02/2020,9,8602865,0,0,0,0
Norte,PA,15,01/03/2020,10,8602865,0,0,0,0
Norte,PA,15,02/03/2020,10,8602865,0,0,0,0
Norte,PA,15,03/03/2020,10,8602865,0,0,0,0
Norte,PA,15,04/03/2020,10,8602865,0,0,0,0
Norte,PA,15,05/03/2020,10,8602865,0,0,0,0
Norte,PA,15,06/03/2020,10,8602865,0,0,0,0
Norte,PA,15,07/03/2020,10,8602865,0,0,0,0
Norte,PA,15,08/03/2020,11,8602865,0,0,0,0
Norte,PA,15,09/03/2020,11,8602865,0,0,0,0
Norte,PA,15,10/03/2020,11,8602865,0,0,0,0
Norte,PA,15,11/03/2020,11,8602865,0,0,0,0
Norte,PA,15,12/03/2020,11,8602865,0,0,0,0
Norte,PA,15,13/03/2020,11,8602865,0,0,0,0
Norte,PA,15,14/03/2020,11,8602865,0,0,0,0
Norte,PA,15,15/03/2020,12,8602865,0,0,0,0
Norte,PA,15,16/03/2020,12,8602865,0,0,0,0
Norte,PA,15,17/03/2020,12,8602865,0,0,0,0
Norte,PA,15,18/03/2020,12,8602865,0,0,0,0
Norte,PA,15,19/03/2020,12,8602865,1,1,0,0
Norte,PA,15,20/03/2020,12,8602865,2,1,0,0
Norte,PA,15,21/03/2020,12,8602865,2,0,0,0
Norte,PA,15,22/03/2020,13,8602865,4,2,0,0
Norte,PA,15,23/03/2020,13,8602865,5,1,0,0
Norte,PA,15,24/03/2020,13,8602865,5,0,0,0
Norte,PA,15,25/03/2020,13,8602865,7,2,0,0
Norte,PA,15,26/03/2020,13,8602865,13,6,0,0
Norte,PA,15,27/03/2020,13,8602865,13,0,0,0
Norte,PA,15,28/03/2020,13,8602865,17,4,0,0
Norte,PA,15,29/03/2020,14,8602865,18,1,0,0
Norte,PA,15,30/03/2020,14,8602865,21,3,0,0
Norte,PA,15,31/03/2020,14,8602865,32,11,0,0
Norte,PA,15,01/04/2020,14,8602865,40,8,1,1
Norte,PA,15,02/04/2020,14,8602865,46,6,1,0
Norte,PA,15,03/04/2020,14,8602865,50,4,1,0
Norte,PA,15,04/04/2020,14,8602865,80,30,1,0
Norte,PA,15,05/04/2020,15,8602865,86,6,1,0
Norte,PA,15,06/04/2020,15,8602865,102,16,3,2
Norte,PA,15,07/04/2020,15,8602865,138,36,5,2
Norte,PA,15,08/04/2020,15,8602865,167,29,6,1
Norte,PA,15,09/04/2020,15,8602865,168,1,7,1
Norte,PA,15,10/04/2020,15,8602865,170,2,9,2
Norte,PA,15,11/04/2020,15,8602865,217,47,10,1
Norte,PA,15,12/04/2020,16,8602865,246,29,13,3
Norte,PA,15,13/04/2020,16,8602865,270,24,15,2
Norte,PA,15,14/04/2020,16,8602865,323,53,19,4
Norte,PA,15,15/04/2020,16,8602865,384,61,21,2
Norte,PA,15,16/04/2020,16,8602865,438,54,24,3
Norte,PA,15,17/04/2020,16,8602865,557,119,26,2
Norte,PA,15,18/04/2020,16,8602865,640,83,33,7
